flag,config_hash,model,task,detail
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.73 (std=0.047, mean=0.065)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.57 (std=0.074, mean=0.129)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.13 (std=0.078, mean=0.069)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.54 (std=0.040, mean=0.075)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.59 (std=0.016, mean=0.026)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.60 (std=0.057, mean=0.094)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.01 (std=0.067, mean=0.066)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.01 (std=0.038, mean=0.038)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.00 (std=0.015, mean=0.015)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.94 (std=0.048, mean=0.051)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.16 (std=0.004, mean=0.003)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.97 (std=0.053, mean=0.055)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.79 (std=0.009, mean=0.011)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.60 (std=0.041, mean=0.068)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.65 (std=0.050, mean=0.076)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.83 (std=0.049, mean=0.059)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.79 (std=0.046, mean=0.059)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.47 (std=0.035, mean=0.074)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.56 (std=0.057, mean=0.101)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.51 (std=0.055, mean=0.108)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.44 (std=0.055, mean=0.124)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.69 (std=0.059, mean=0.086)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.70 (std=0.061, mean=0.088)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.47 (std=0.025, mean=0.052)"
